O3	O3	Temperature	Temperature	CO	CO	CO2	CO2
1752.48	0.12	9.58	23.64	531.73	5.39	2.29	421.81
51064984	0.05	-4.61	23.69	527.17	5.5	2.57	421.86
51064984	0.06	4.41	23.78	527.17	5.65	2.3	422.21
51064984	0.04	-4.93	23.8	524.92	5.44	2.64	396.77
51064984	0.04	-7.19	23.69	516.05	5.63	2.3	422.21
51064984	0.04	-4.29	23.76	507.43	5.42	2.3	421.91
1591.32	0.04	12.8	23.84	524.92	5.63	2.74	422.21
51064984	0.09	-5.9	23.77	511.71	5.6	2.28	396.97
51064984	0.11	-8.48	23.7	524.92	5.57	2.3	422.21
51064984	0.09	12.16	23.73	522.68	5.34	2.29	421.91
51064984	0.09	-6.87	23.79	516.05	5.45	2.29	421.76
51064984	0.07	1.83	23.72	513.87	5.32	2.28	421.86
1087.66	0.08	-4.93	23.73	522.68	5.26	2.69	421.81
51064984	0.14	14.74	23.77	529.45	5.5	2.67	422.01
51064984	0.02	-3.96	23.77	527.17	5.52	2.32	396.67
51064984	0.05	-4.61	23.7	503.21	5.58	2.69	422.06
51064984	0.04	-7.51	23.71	513.87	5.3	2.71	422.11
51064984	0.19	-3.64	23.75	529.45	5.6	2.3	422.21
51064984	0.11	-8.16	23.76	522.68	5.26	2.29	422.01
51064984	0.04	-6.54	23.76	520.45	5.47	2.29	422.11
501.03	0.05	-8.8	23.7	509.57	5.54	2.43	422.21
51064984	0.07	-2.67	23.78	496.99	5.61	2.28	421.96
51064984	0.13	-3.32	23.75	492.92	5.54	2.3	421.86
51064984	0.16	-4.29	23.75	509.57	5.6	2.34	421.91
51064984	0.04	5.38	23.79	511.71	5.55	2.35	421.96
51064984	0.01	1.83	23.8	481.02	5.5	2.29	422.01
51064984	0.08	-5.25	23.79	520.45	5.36	2.29	396.82
51064984	0.09	-4.93	23.77	522.68	5.4	2.3	396.97
51064984	0.06	11.83	23.8	536.36	5.29	2.28	422.11
51064984	0.13	-4.93	23.79	524.92	5.43	2.28	396.82
51064984	0.15	-8.16	23.81	536.36	5.33	2.29	396.82
51064984	0.12	-7.51	23.79	536.36	5.64	2.29	396.92
51064984	0.14	-7.83	23.81	484.93	5.57	2.34	397.12
51064984	0.09	-3.64	23.81	503.21	5.56	2.3	396.97
51064984	0.16	13.77	23.76	492.92	5.49	2.6	422.21
51064984	0.13	-5.25	23.75	536.36	5.67	2.38	396.72
51064984	0.04	-6.87	23.62	516.05	5.39	2.29	396.72
4411.63	0.12	-5.9	23.75	534.04	5.24	2.3	396.57
51064984	0.05	-7.19	23.67	541.06	5.53	2.29	396.57
51064984	0.06	-6.54	23.64	538.7	5.5	2.28	421.91
5888.81	0.13	-6.54	23.55	543.43	5.57	2.3	396.57
51064984	0.12	-4.29	23.51	538.7	5.42	2.28	396.52
51064984	0.15	-1.06	23.44	531.73	5.5	2.3	396.52
51064984	0.09	-9.77	23.38	553.11	5.48	2.28	396.47
51064984	0.12	13.12	23.27	560.56	5.57	2.5	396.47
51064984	0.14	14.09	23.3	545.83	5.39	2.3	396.47
51064984	0.04	-6.87	23.29	548.24	5.41	2.47	396.57
51064984	0.09	-3.96	23.37	548.24	5.5	2.3	396.57
51064984	0.07	-4.93	23.37	545.83	5.47	2.3	396.47
51064984	0.06	-3.96	23.37	553.11	5.36	2.3	396.47
51064984	0.11	5.7	23.2	545.83	5.61	2.29	396.52
51064984	0.09	-9.45	23.2	548.24	5.53	2.29	421.71
51064984	0.05	12.48	23.21	484.93	5.58	2.3	396.52
51064984	0.05	13.77	23.18	555.58	5.65	2.74	396.52
590.93	0.12	-7.51	23.14	536.36	5.36	2.29	421.71
51064984	0.06	-3	23.17	568.19	5.5	2.29	421.71
51064984	0.12	-5.9	23.23	560.56	5.39	2.3	396.52
51064984	0.05	11.19	23.26	545.83	5.45	2.37	396.52
51064984	0.15	-9.45	23.19	553.11	5.49	2.29	396.52
51064984	0.06	-3.64	23.25	550.67	5.45	2.29	396.52
533.62	0.1	-8.48	23.27	543.43	5.56	2.27	421.71
51064984	0.11	-3	23.45	534.04	5.58	2.29	447.25
51064984	0.11	14.74	23.84	520.45	5.47	2.29	447.4
51064984	0.1	-3.96	23.98	507.43	5.5	2.29	447.55
51064984	0.11	8.29	24.14	475.25	5.43	2.37	397.02
51064984	0.01	-4.93	24.18	496.99	5.59	2.26	447.5
51064984	0.13	-6.22	24.22	499.05	5.61	2.29	422.21
912.7	0.17	-9.45	24.04	494.95	5.7	2.37	422.21
51064984	0.03	6.35	24.04	486.91	5.7	2.42	422.21
51064984	0.16	-7.83	23.96	465.88	5.54	2.6	422.06
51064984	0.14	-8.16	23.9	494.95	5.66	2.3	422.21
1752.48	-0.01	-6.22	23.89	490.9	5.55	2.67	422.21
51064984	0.07	-4.61	23.79	469.59	5.56	2.28	422.01
51064984	0.14	1.83	23.72	484.93	5.7	2.3	422.21
51064984	-0.01	-4.93	23.71	467.73	5.5	2.3	422.01
51064984	0.04	-6.22	23.64	460.4	5.68	2.47	421.86
51064984	0.11	-7.51	23.69	482.97	5.61	2.29	421.91
51064984	0.09	-9.12	23.6	486.91	5.67	2.69	421.86
51064984	0.15	-10.09	23.61	482.97	5.88	2.29	421.91
51064984	0.09	1.51	23.53	486.91	5.75	2.66	421.91
5888.81	0.13	-9.45	23.59	475.25	5.76	2.29	422.11
51064984	0.04	-8.16	23.52	464.04	5.52	2.29	396.57
17703.18	0.15	-5.58	23.51	484.93	5.6	2.29	421.76
51064984	0.07	4.09	23.47	473.35	5.78	2.51	421.81
1752.48	0.07	-8.48	23.46	453.26	5.6	2.29	421.76
51064984	0.04	-6.87	23.47	465.88	5.69	2.29	421.81
1752.48	0.15	-7.83	23.52	442.88	5.81	2.29	421.71
51064984	0.08	1.19	23.57	429.64	5.65	2.28	422.01
51064984	0.09	9.25	23.52	482.97	5.63	2.3	422.06
51064984	0.05	-8.48	23.63	469.59	5.5	2.28	421.91
2512.27	0.09	-8.16	23.62	473.35	5.69	2.28	421.86
51064984	0.05	-7.51	23.62	481.02	5.56	2.29	421.86
51064984	0.13	-5.9	23.53	473.35	5.65	2.29	421.86
51064984	0.12	-9.77	23.56	473.35	6.2	2.29	447.2
1591.32	0.17	-3.32	23.54	437.84	6.02	2.29	447.15
51064984	0.03	-5.58	23.59	409.45	6.17	2.28	447.1
51064984	0.1	-6.87	23.64	400.63	6.35	2.27	472.39
2195.69	0.08	-9.77	23.59	375.94	6.29	2.39	472.34
51064984	-0.03	-7.19	23.61	365.73	6.25	2.26	472.54
51064984	0.11	-7.19	23.64	399.2	6.3	2.39	472.34
51064984	-0.01	-5.9	23.65	394.93	6.3	2.27	497.68
51064984	0.16	-6.87	23.65	394.93	6.3	2.26	497.83
17703.18	0.12	-5.58	23.65	407.96	5.81	2.54	472.49
51064984	0	-6.22	23.61	428.03	6.03	2.28	472.39
51064984	0.07	8.61	23.64	439.51	5.97	2.69	447.25
51064984	0.01	-8.48	23.62	431.26	5.93	2.68	472.39
51064984	0.15	-6.54	23.71	399.2	5.9	2.28	472.34
51064984	0.09	-6.22	23.64	420.12	6.32	2.27	497.88
51064984	0.08	-0.74	23.7	406.47	6.03	2.67	472.79
51064984	0.07	-8.48	23.7	418.57	5.88	2.26	497.93
5888.81	0.08	7	23.69	441.19	5.97	2.27	472.54
750.42	0.08	8.29	23.73	456.81	5.86	2.28	472.79
486.13	0.13	-4.93	23.76	456.81	5.85	2.27	472.74
51064984	0.1	-7.19	23.76	437.84	5.95	2.28	472.79
51064984	0.09	-9.77	23.81	453.26	5.86	2.72	472.79
17703.18	0.08	-8.48	23.75	446.3	5.91	2.66	472.79
51064984	0.15	-6.22	23.7	442.88	6.03	2.28	472.49
51064984	0.18	-9.77	23.75	444.59	5.75	2.73	447.25
51064984	0.22	-3.96	23.79	437.84	5.66	2.27	447.3
1087.66	0.07	-6.22	23.8	436.18	5.67	2.68	447.3
51064984	0.12	-5.25	23.85	458.6	6.03	2.29	447.3
